"indice_tiempo","categoria","valor"
"2016-01-01","Transporte","161.9"
"2016-01-01","Uso específico","263.6"
"2016-01-01","Uso general","189.8"
"2016-02-01","Transporte","200.2"
"2016-02-01","Uso específico","255.2"
"2016-02-01","Uso general","181.7"
"2016-03-01","Transporte","159.4"
"2016-03-01","Uso específico","272.2"
"2016-03-01","Uso general","193"
"2016-04-01","Transporte","178.8"
"2016-04-01","Uso específico","279.9"
"2016-04-01","Uso general","197.1"
"2016-05-01","Transporte","337.6"
"2016-05-01","Uso específico","257.4"
"2016-05-01","Uso general","201.6"
"2016-06-01","Transporte","310.3"
"2016-06-01","Uso específico","273.8"
"2016-06-01","Uso general","206.5"
"2016-07-01","Transporte","216.8"
"2016-07-01","Uso específico","267.6"
"2016-07-01","Uso general","200"
"2016-08-01","Transporte","405.1"
"2016-08-01","Uso específico","280.2"
"2016-08-01","Uso general","211.1"
"2016-09-01","Transporte","318.8"
"2016-09-01","Uso específico","335.9"
"2016-09-01","Uso general","214.4"
"2016-10-01","Transporte","447.7"
"2016-10-01","Uso específico","301.8"
"2016-10-01","Uso general","200.9"
"2016-11-01","Transporte","404.2"
"2016-11-01","Uso específico","276.2"
"2016-11-01","Uso general","177.3"
"2016-12-01","Transporte","479.5"
"2016-12-01","Uso específico","337.7"
"2016-12-01","Uso general","194.4"
"2017-01-01","Transporte","185"
"2017-01-01","Uso específico","343.2"
"2017-01-01","Uso general","217.9"
"2017-02-01","Transporte","400.2"
"2017-02-01","Uso específico","258.6"
"2017-02-01","Uso general","147.8"
"2017-03-01","Transporte","377.9"
"2017-03-01","Uso específico","351.3"
"2017-03-01","Uso general","191.1"
"2017-04-01","Transporte","380.4"
"2017-04-01","Uso específico","335.7"
"2017-04-01","Uso general","178.9"
"2017-05-01","Transporte","403.4"
"2017-05-01","Uso específico","369.1"
"2017-05-01","Uso general","233.3"
"2017-06-01","Transporte","318.2"
"2017-06-01","Uso específico","330.4"
"2017-06-01","Uso general","204.8"
"2017-07-01","Transporte","473.3"
"2017-07-01","Uso específico","341.8"
"2017-07-01","Uso general","252.5"
"2017-08-01","Transporte","441.6"
"2017-08-01","Uso específico","413.8"
"2017-08-01","Uso general","233.3"
"2017-09-01","Transporte","380.7"
"2017-09-01","Uso específico","372.7"
"2017-09-01","Uso general","262.9"
"2017-10-01","Transporte","277.2"
"2017-10-01","Uso específico","427.3"
"2017-10-01","Uso general","258.9"
"2017-11-01","Transporte","333.8"
"2017-11-01","Uso específico","405.3"
"2017-11-01","Uso general","280"
"2017-12-01","Transporte","306.6"
"2017-12-01","Uso específico","337.3"
"2017-12-01","Uso general","246.5"
"2018-01-01","Transporte","206.5"
"2018-01-01","Uso específico","420.4"
"2018-01-01","Uso general","260.5"
"2018-02-01","Transporte","242.3"
"2018-02-01","Uso específico","333.2"
"2018-02-01","Uso general","207.5"
"2018-03-01","Transporte","280.3"
"2018-03-01","Uso específico","375.2"
"2018-03-01","Uso general","239.7"
"2018-04-01","Transporte","251.4"
"2018-04-01","Uso específico","396.3"
"2018-04-01","Uso general","241.2"
"2018-05-01","Transporte","305.9"
"2018-05-01","Uso específico","352.2"
"2018-05-01","Uso general","254.8"
"2018-06-01","Transporte","168"
"2018-06-01","Uso específico","297.3"
"2018-06-01","Uso general","239.1"
"2018-07-01","Transporte","232.4"
"2018-07-01","Uso específico","302.5"
"2018-07-01","Uso general","275.3"
"2018-08-01","Transporte","178.4"
"2018-08-01","Uso específico","355.4"
"2018-08-01","Uso general","299.4"
"2018-09-01","Transporte","76.3"
"2018-09-01","Uso específico","290.2"
"2018-09-01","Uso general","241.8"
"2018-10-01","Transporte","101.3"
"2018-10-01","Uso específico","268.4"
"2018-10-01","Uso general","266.9"
"2018-11-01","Transporte","85.5"
"2018-11-01","Uso específico","268.9"
"2018-11-01","Uso general","209.3"
"2018-12-01","Transporte","103.7"
"2018-12-01","Uso específico","213.4"
"2018-12-01","Uso general","229.8"
"2019-01-01","Transporte","49.8"
"2019-01-01","Uso específico","259.8"
"2019-01-01","Uso general","223.8"
"2019-02-01","Transporte","126.2"
"2019-02-01","Uso específico","213.1"
"2019-02-01","Uso general","177.6"
"2019-03-01","Transporte","60.5"
"2019-03-01","Uso específico","230.6"
"2019-03-01","Uso general","156.4"
"2019-04-01","Transporte","78.8"
"2019-04-01","Uso específico","222.7"
"2019-04-01","Uso general","177.3"
"2019-05-01","Transporte","94.7"
"2019-05-01","Uso específico","266.3"
"2019-05-01","Uso general","179.5"
"2019-06-01","Transporte","84.3"
"2019-06-01","Uso específico","231.6"
"2019-06-01","Uso general","169.7"
